Type of multilayer network,Layer,Entities,Nodes,Interlayer edges,Intralayer edges,Social grain,Spatial grain,Image path,Image md,Image latex
Spatial network,"Spatially explicit patches, areas, landcovers",Individuals,Individual,Connect individuals to themselves,Association to other individuals within network,"types of interaction, chain rule, spatsoc threshold, hyena sessions",resolution,../graphics/spatial.png,![](../graphics/spatial.png),\includegraphics[width=0.3\textwidth]{../graphics/spatial.png}
Network of networks,"Subpopulations, fuzzy patches",Individuals,Individuals and sub-networks,Connect networks to networks,Association to other individuals within network,,,../graphics/netofnets.png,![](../graphics/netofnets.png),\includegraphics[width=0.3\textwidth]{../graphics/netofnets.png}
Interspecific network,Different species,Individuals,Individuals and species-specific networks,Connect species to species,Association to other individuals within network,"For intra: see left. For inter: similarity, vulnerability","connectivity, clusters",../graphics/interspecific.png,![](../graphics/interspecific.png),\includegraphics[width=0.3\textwidth]{../graphics/interspecific.png}
